site	datatype	count	group
cpcs_aa	adt	38	FW2
cpcs_aa	chrg	8	FW2
cpcs_aa	cmr	2	FW2
cpcs_aa	edm	2	FW2
cpcs_aa	elmu	3	FW2
cpcs_aa	eps	1	FW2
cpcs_aa	imgurl	2	FW2
cpcs_aa	immu	3	FW2
cpcs_aa	labpoc	2	FW2
cpcs_aa	labrslt	7	FW2
cpcs_aa	mmasn	2	FW2
cpcs_aa	mmftp	1	FW2
cpcs_aa	mmitem	3	FW2
cpcs_aa	mmpar	2	FW2
cpcs_aa	mmrepl	3	FW2
cpcs_aa	multi	3	FW2
cpcs_aa	nuras	2	FW2
cpcs_aa	oeadm	2	FW2
cpcs_aa	oeord	6	FW2
cpcs_aa	oerpt	19	FW2
cpcs_aa	oewrk	2	FW2
cpcs_aa	phaadm	2	FW2
cpcs_aa	phainv	3	FW2
cpcs_aa	phaord	3	FW2
cpcs_aa	phaproc	3	FW2
cpcs_aa	pthrslt	3	FW2
cpcs_aa	radord	7	FW2
cpcs_aa	radrslt	11	FW2
cpcs_aa	radurl	2	FW2
cpcs_aa	rlabo	4	FW2
cpcs_aa	rlabr	4	FW2
cpcs_aa	sch	4	FW2
cpcs_aa	symu	2	FW2
cpcs_abc	adt	5	NA
cpcs_abc	chrg	2	NA
cpcs_abc	labrslt	2	NA
cpcs_abc	mmftp	2	NA
cpcs_abc	mmitem	3	NA
cpcs_abc	oewrk	2	NA
cpcs_abc	phainv	2	NA
cpcs_abc	phaord	3	NA
cpcs_abc	radord	2	NA
cpcs_abc	radrslt	2	NA
cpcs_abc	rlabo	2	NA
cpcs_abc	rlabr	2	NA
cpcs_ag	adt	36	NA
cpcs_ag	bedmg	2	NA
cpcs_ag	chrg	7	NA
cpcs_ag	cmr	2	NA
cpcs_ag	edm	2	NA
cpcs_ag	elmu	3	NA
cpcs_ag	labpoc	3	NA
cpcs_ag	labrslt	7	NA
cpcs_ag	mmasn	2	NA
cpcs_ag	mmftp	1	NA
cpcs_ag	mmitem	3	NA
cpcs_ag	mmpar	2	NA
cpcs_ag	mmrepl	3	NA
cpcs_ag	mr	1	NA
cpcs_ag	multi	3	NA
cpcs_ag	nuras	2	NA
cpcs_ag	oeadm	2	NA
cpcs_ag	oeord	4	NA
cpcs_ag	oerpt	14	NA
cpcs_ag	oewrk	2	NA
cpcs_ag	phaadm	2	NA
cpcs_ag	phainv	3	NA
cpcs_ag	phaord	4	NA
cpcs_ag	phaproc	2	NA
cpcs_ag	pthrslt	3	NA
cpcs_ag	radord	4	NA
cpcs_ag	radrslt	6	NA
cpcs_ag	radurl	2	NA
cpcs_ag	rlabo	3	NA
cpcs_ag	rlabr	3	NA
cpcs_ag	sch	3	NA
cpcs_ag	symu	3	NA
cpcs_ah	adt	10	NA
cpcs_ah	chrg	5	NA
cpcs_ah	labpoc	2	NA
cpcs_ah	labrslt	3	NA
cpcs_ah	mmasn	2	NA
cpcs_ah	mmftp	1	NA
cpcs_ah	mmitem	5	NA
cpcs_ah	mmpar	3	NA
cpcs_ah	mmrepl	3	NA
cpcs_ah	multi	2	NA
cpcs_ah	oerpt	3	NA
cpcs_ah	oewrk	2	NA
cpcs_ah	phainv	2	NA
cpcs_ah	phaord	2	NA
cpcs_ah	phaproc	2	NA
cpcs_ah	pthrslt	2	NA
cpcs_ah	radord	4	NA
cpcs_ah	radrslt	5	NA
cpcs_ah	rlabo	2	NA
cpcs_ah	rlabr	2	NA
cpcs_ak	adt	29	NA
cpcs_ak	bedmg	2	NA
cpcs_ak	chrg	4	NA
cpcs_ak	cmr	2	NA
cpcs_ak	edm	2	NA
cpcs_ak	imgurl	1	NA
cpcs_ak	immu	2	NA
cpcs_ak	labpoc	2	NA
cpcs_ak	labrslt	7	NA
cpcs_ak	mmasn	2	NA
cpcs_ak	mmftp	1	NA
cpcs_ak	mmitem	3	NA
cpcs_ak	mmpar	2	NA
cpcs_ak	mmrepl	2	NA
cpcs_ak	multi	3	NA
cpcs_ak	nuras	2	NA
cpcs_ak	oeadm	2	NA
cpcs_ak	oeord	3	NA
cpcs_ak	oerpt	13	NA
