sid	site	sname
1	cpcs_aa	Medical Center of Aurora
2	cpcs_abc	Livingston Regional Hospital
3	cpcs_ag	Augusta Medical Center
4	cpcs_ah	Athens Med Center
5	cpcs_ak	Alaska Regional Hospital
6	cpcs_ar	Medical Center of Arlington 2
7	cpcs_as	St. David's South Hospital (South Austin Hosp)
8	cpcs_ay	Methodist Ambulatory Surgery Hospital
9	cpcs_ba	Corpus Christi Medical Center
10	cpcs_bau	North Austin Medical Center
11	cpcs_bbo	Boynton Beach (OR)
12	cpcs_bg	Bourbon Community Hospital
13	cpcs_bh	Frankfort Regional Medical Center
14	cpcs_bic	Brambleton Imaging Center
15	cpcs_blm	Baptist Lutheran Medical Center
16	cpcs_bm	Bayshore Medical Center
17	cpcs_bmc	Burdick West Medical Center
18	cpcs_bp	Regional Medical Center Bayonet Point
19	cpcs_bz	College Station Medical Center
20	cpcs_ca	Cartersville Medical Center
21	cpcs_cba	St. David's Medical Center
22	cpcs_cbe	Ashley Valley Medical Center
23	cpcs_cbf	Brigham City Community Hospital
24	cpcs_cbg	Castleview Hospital
25	cpcs_cbl	Mountain View Hospital
26	cpcs_cc	Chippenham-Johnston Willis Medical Center
27	cpcs_cc2	Chippenham-Johnston Willis Medical Center
28	cpcs_cd	Cheatham Medical Center
29	cpcs_ce	University of Miami - Cedars
30	cpcs_cf	Woman's Hospital of Texas
31	cpcs_cj	Clinch Valley Med Center
32	cpcs_cl	Clear Lake Regional Medical Center
33	cpcs_cm	Centerpoint Medical Center
34	cpcs_cn	Central Florida Regional Hospital (Sanford Med Ct)
35	cpcs_cocs	Southside Cancer Center
36	cpcs_coi	Concept Open Imaging (OR)
37	cpcs_cor	Colorado River Med Center
38	cpcs_cr	Conroe Regional Medical Center
39	cpcs_dab	Colleton Medical Center
40	cpcs_dae	Las Colinas Medical Center
41	cpcs_dat	Northeast Methodist Surgery Center
42	cpcs_daw	Riverside Community Hospital
43	cpcs_dc	Doctors Hospital Columbus
44	cpcs_de	Summit Medical Center
45	cpcs_dl	Medical City Dallas Hospital
46	cpcs_dmm	Danville Medical Center
47	cpcs_do	Corpus Christi Medical Center
48	cpcs_doi	Delray Open Imaging (OR)
49	cpcs_dr	Denton Regional Medical Center
50	cpcs_dt	Doctors Hospital Sarasota
51	cpcs_du	Dauterive  Hospital
52	cpcs_eaf	Lewis-Gale Hospital
53	cpcs_eap	Southern Tennessee Medical Center
54	cpcs_eav	AirLife
55	cpcs_eh	Englewood Community Hospital
56	cpcs_ei	Parkridge East Hospital
57	cpcs_ejc	Emory Johns creek Hospita
58	cpcs_emc	Eunice Community Medical Center
59	cpcs_er	Edmond Regional Medical Center
60	cpcs_es	Eastside Medical Center
61	cpcs_ew	Edward White Hospital
62	cpcs_fal	Timpanogos Regional Medical Center
63	cpcs_fas	Southcrest
64	cpcs_fh	Fawcett Memorial Hospital
65	cpcs_fi	Spalding  Rehabilitation
66	cpcs_fn	Saint Francis Med Center
67	cpcs_fv	Fairview Park Hospital
68	cpcs_fy	Crockett General Hospital
69	cpcs_gba	St. David's Rehabilitation Center
70	cpcs_gbe	Green Oaks Hospital
71	cpcs_gbt	Regional Medical Center of San Jose
72	cpcs_gbu	Denton Community Hospitals
73	cpcs_gc	Gulf Coast Hosp - Ft Myers
74	cpcs_gcc	North Florida Radiation Oncology – Gainesville
75	cpcs_gha	Galichia Heart Hospital
76	cpcs_gl	Bluegrass Community Hospital
77	cpcs_go	Good Samaritan Hospital
78	cpcs_gp	St. Petersburg Medical Center
79	cpcs_gth	Georgetown Hospital
80	cpcs_gv	Greenview Hospital
81	cpcs_gy	Greenbrier Valley Med Center
82	cpcs_hha	Heart Hospital of Austin
83	cpcs_hm	Horizon Medical Center
84	cpcs_hn	Hendersonville Hospital
