site	machine_name	count
3mdm	FW	3
3mdm	FW2	16
3mdm	NA	2
3mdm	NA2	6
3mdm	OR	1
3mdm	ORPG	1
3mdm	SA	16
accs	FW2	3
acex	NA2	2
acud	FW	55
acud	FW2	93
acud	NA	96
acud	NA2	67
acud	NA3	46
acud	OR	18
acud	ORPF	33
acud	ORPG	20
acud	ORPH	3
acud	ORPJ	7
acud	SA	52
agfa	NA	6
agfa	NA2	4
agfa	NA3	2
agfa	OR	2
agil	FW	9
agil	FW2	1
agil	NA2	1
agil	NA3	2
agil	ORPF	4
ahqa	OR	1
ahqa	ORPF	1
aims	NA2	1
airs	NA	2
airs	NA3	1
airs	ORPF	1
aisb	OR3	1
algt	OR	20
amas	NA2	4
amas	OR	9
amas	ORPF	39
amas	ORPG	3
amas	ORPH	6
amed	FW	6
amed	FW2	1
amed	NA3	1
aml	FW	2
aml	FW2	37
aml	NA	2
aml	NA2	10
aml	NA3	6
aml	OR	26
aml	ORPF	6
aml	ORPG	13
aml	ORPH	2
aml	SA	28
amsc	NA2	1
amsc	SA	1
anrd	FW2	8
anrd	NA	2
anrd	ORPG	2
anrd	SA	6
aplo	FW	7
aplo	FW2	7
aplo	NA	5
aplo	NA2	7
aplo	NA3	8
aplo	OR	9
aplo	ORPF	16
aplo	ORPG	8
aplo	ORPH	2
aplo	ORPJ	2
aplo	SA	15
arad	OR	4
arad	SA	1
aria	FW	4
aria	FW2	4
aria	NA	11
aria	NA2	4
aria	NA3	8
aria	ORPF	2
aria	ORPG	7
aria	SA	3
arie	NA3	2
aroe	ORPF	2
arup	FW	6
arup	FW2	10
asrd	SA	5
athn	FW2	1
atrm	OR	1
ava	FW	1
ava	FW2	1
ava	NA	2
ava	NA2	3
ava	ORPF	1
ava	ORPG	2
axal	FW2	12
bbrh	ORPG	4
bbrh	ORPJ	3
bnfr	ORPG	2
brmd	ORPF	1
brmd	ORPG	2
bti	FW	275
bti	FW2	331
bti	NA	285
bti	NA2	273
bti	NA3	92
bti	OR	170
bti	OR3	3
bti	ORPB	44
bti	ORPC	40
bti	ORPD	52
bti	ORPF	137
bti	ORPG	96
bti	ORPH	20
bti	ORPJ	28
bti	ORTA	4
bti	SA	376
bti	SA2	2
bztl	FW2	4
bztl	NA3	4
caly	FW	5
caly	FW2	6
caly	NA	5
caly	NA2	3
caly	OR	6
caly	ORPF	1
caly	SA	12
cams	FW	1
cams	ORPG	1
caps	FW	46
caps	FW2	53
caps	NA	43
caps	NA2	44
caps	NA3	14
caps	OR	36
caps	ORPF	30
caps	ORPG	13
caps	ORPH	4
caps	ORPJ	5
caps	SA	59
ccws	FW	2
ccws	FW2	2
ccws	NA2	1
ccws	SA	3
cdis	FW	1
cdis	SA	1
