site	machine_name	count	group
cpcs_aa	FW2	161	FW2
cpcs_abc	NA	29	NA
cpcs_ag	NA	139	NA
cpcs_ah	NA	62	NA
cpcs_ak	NA	118	NA
cpcs_ar	FW	132	FW
cpcs_as	SA	132	SA
cpcs_at	ORPB	9	ORPB
cpcs_at	ORPF	147	ORPF
cpcs_ay	SA	95	SA
cpcs_ba	SA	31	SA
cpcs_bau	SA	135	SA
cpcs_bbo	ORPF	14	ORPF
cpcs_bg	NA3	38	NA3
cpcs_bh	NA3	149	NA3
cpcs_bic	NA2	16	NA2
cpcs_blm	NA2	10	NA2
cpcs_bm	SA	145	SA
cpcs_bm	SA2	6	SA2
cpcs_bmc	NA	20	NA
cpcs_bp	OR	119	OR
cpcs_bp	ORPD	9	ORPD
cpcs_br	OR	153	OR
cpcs_br	ORPD	9	ORPD
cpcs_bz	SA	45	SA
cpcs_ca	NA	128	NA
cpcs_cba	SA	124	SA
cpcs_cbe	FW2	33	FW2
cpcs_cbf	FW2	116	FW2
cpcs_cbg	FW2	43	FW2
cpcs_cbk	FW2	132	FW2
cpcs_cbl	FW2	121	FW2
cpcs_cbm	FW2	133	FW2
cpcs_cbq	ORPC	9	ORPC
cpcs_cbq	ORPG	131	ORPG
cpcs_cbq	ORTA	8	ORTA
cpcs_cc	NA2	88	NA2
cpcs_cc2	NA2	81	NA2
cpcs_cd	NA	101	NA
cpcs_ce	OR	60	OR
cpcs_cf	SA	129	SA
cpcs_cj	NA2	70	NA2
cpcs_cl	SA	136	SA
cpcs_cm	NA2	128	NA2
cpcs_cn	ORPD	9	ORPD
cpcs_cn	ORPH	133	ORPH
cpcs_co	NA	127	NA
cpcs_cocs	OR	6	OR
cpcs_coi	ORPF	13	ORPF
cpcs_cor	FW2	7	FW2
cpcs_cr	SA	145	SA
cpcs_ct	NA	129	NA
cpcs_dab	NA3	132	NA3
cpcs_dae	FW	131	FW
cpcs_dat	SA	9	SA
cpcs_daw	FW2	151	FW2
cpcs_dc	NA	70	NA
cpcs_de	NA	134	NA
cpcs_dl	FW	147	FW
cpcs_dmm	NA	84	NA
cpcs_do	SA	127	SA
cpcs_doi	ORPF	14	ORPF
cpcs_dr	FW	133	FW
cpcs_dt	OR	118	OR
cpcs_dt	ORPD	9	ORPD
cpcs_du	FW	104	FW
cpcs_eaf	NA2	150	NA2
cpcs_eap	NA	43	NA
cpcs_eav	FW2	3	FW2
cpcs_eh	OR	113	OR
cpcs_eh	ORPD	9	ORPD
cpcs_ei	NA	112	NA
cpcs_ejc	NA	81	NA
cpcs_emc	FW	6	FW
cpcs_er	NA3	110	NA3
cpcs_es	NA	139	NA
cpcs_ew	OR	116	OR
cpcs_ew	ORPD	9	ORPD
cpcs_fal	FW2	129	FW2
cpcs_fas	NA3	43	NA3
cpcs_fh	OR	118	OR
cpcs_fh	ORPD	9	ORPD
cpcs_fi	FW2	79	FW2
cpcs_fn	NA2	57	NA2
cpcs_fv	NA	128	NA
cpcs_fw	ORPC	9	ORPC
cpcs_fw	ORPG	117	ORPG
cpcs_fy	NA	40	NA
cpcs_gba	SA	77	SA
cpcs_gbe	FW	66	FW
cpcs_gbt	FW2	133	FW2
cpcs_gbu	FW	40	FW
cpcs_gc	OR	26	OR
cpcs_gcc	ORPG	7	ORPG
cpcs_gha	FW	95	FW
cpcs_gl	NA3	35	NA3
cpcs_go	FW2	144	FW2
cpcs_gp	OR	123	OR
cpcs_gp	ORPD	9	ORPD
cpcs_gth	SA	116	SA
cpcs_gv	NA	117	NA
cpcs_gy	NA2	18	NA2
cpcs_hha	SA	99	SA
cpcs_hm	NA	121	NA
cpcs_hn	NA	130	NA
cpcs_hr	NA2	146	NA2
cpcs_hu	NA	63	NA
cpcs_ica	NA2	10	NA2
cpcs_icb	NA2	10	NA2
cpcs_icc	NA2	10	NA2
cpcs_icf	NA3	15	NA3
cpcs_icp	NA2	10	NA2
cpcs_icr	FW2	13	FW2
cpcs_ics	FW2	3	FW2
cpcs_ict	NA2	3	NA2
cpcs_id	FW2	129	FW2
cpcs_ie	ORPC	9	ORPC
cpcs_ie	ORPG	111	ORPG
cpcs_irf	ORPF	8	ORPF
